candidate_id,rank,score,reasoning
CAND_0005260,1,0.8399440548419953,Senior NLP Engineer with 5.2 yrs exp. Base semantic match adjusted by 86% response rate.
CAND_0006567,2,0.8112809084653855,Senior AI Engineer with 7.9 yrs exp. Base semantic match adjusted by 79% response rate.
CAND_0049978,3,0.8088322126865387,Senior Software Engineer (ML) with 6.6 yrs exp. Base semantic match adjusted by 71% response rate.
CAND_0082913,4,0.8087776354551316,Senior Software Engineer (ML) with 5.5 yrs exp. Base semantic match adjusted by 73% response rate.
CAND_0064326,5,0.8064552614688874,Search Engineer with 7.6 yrs exp. Base semantic match adjusted by 94% response rate.
CAND_0002025,6,0.8051124572753907,Senior AI Engineer with 5.9 yrs exp. Base semantic match adjusted by 80% response rate.
CAND_0055905,7,0.8034278988838196,Senior Machine Learning Engineer with 8.1 yrs exp. Base semantic match adjusted by 87% response rate.
CAND_0046525,8,0.7984509162902833,Senior Machine Learning Engineer with 6.1 yrs exp. Base semantic match adjusted by 88% response rate.
CAND_0079064,9,0.7969478569030762,Senior Data Scientist with 5.2 yrs exp. Base semantic match adjusted by 91% response rate.
CAND_0036484,10,0.7968397521972657,AI Research Engineer with 5.7 yrs exp. Base semantic match adjusted by 80% response rate.
CAND_0036437,11,0.7967784039974214,Search Engineer with 4.8 yrs exp. Base semantic match adjusted by 87% response rate.
CAND_0004402,12,0.7967299826145173,AI Research Engineer with 6.0 yrs exp. Base semantic match adjusted by 83% response rate.
CAND_0046064,13,0.7959043989181519,Senior NLP Engineer with 8.9 yrs exp. Base semantic match adjusted by 78% response rate.
CAND_0091348,14,0.7958377690315247,Senior Software Engineer (ML) with 3.7 yrs exp. Base semantic match adjusted by 86% response rate.
CAND_0071974,15,0.7943913559913636,Senior AI Engineer with 7.8 yrs exp. Base semantic match adjusted by 76% response rate.
CAND_0005538,16,0.794261745452881,Senior AI Engineer with 5.9 yrs exp. Base semantic match adjusted by 81% response rate.
CAND_0001930,17,0.7925935345888139,Senior Software Engineer (ML) with 6.9 yrs exp. Base semantic match adjusted by 65% response rate.
CAND_0043860,18,0.7908822600841523,Junior ML Engineer with 6.1 yrs exp. Base semantic match adjusted by 81% response rate.
CAND_0044883,19,0.7892435064315797,AI Engineer with 6.3 yrs exp. Base semantic match adjusted by 84% response rate.
CAND_0046132,20,0.7882360622882842,AI Research Engineer with 4.3 yrs exp. Base semantic match adjusted by 94% response rate.
CAND_0011687,21,0.7840530942678452,Senior NLP Engineer with 7.8 yrs exp. Base semantic match adjusted by 89% response rate.
CAND_0055992,22,0.7835672483444215,AI Engineer with 16.9 yrs exp. Base semantic match adjusted by 72% response rate.
CAND_0070525,23,0.7833147557973863,Senior Software Engineer (ML) with 5.4 yrs exp. Base semantic match adjusted by 93% response rate.
CAND_0016267,24,0.7812740658521653,AI Specialist with 3.6 yrs exp. Base semantic match adjusted by 67% response rate.
CAND_0058152,25,0.7805004483461381,Data Scientist with 3.6 yrs exp. Base semantic match adjusted by 85% response rate.
CAND_0052712,26,0.7801655035018922,AI Research Engineer with 3.1 yrs exp. Base semantic match adjusted by 78% response rate.
CAND_0054271,27,0.77983477973938,Senior Software Engineer (ML) with 5.8 yrs exp. Base semantic match adjusted by 78% response rate.
CAND_0073204,28,0.7791302014589311,Senior Software Engineer (ML) with 3.4 yrs exp. Base semantic match adjusted by 93% response rate.
CAND_0065195,29,0.778546142578125,Search Engineer with 5.1 yrs exp. Base semantic match adjusted by 80% response rate.
CAND_0068351,30,0.7779723644256592,Lead AI Engineer with 6.4 yrs exp. Base semantic match adjusted by 86% response rate.
CAND_0073007,31,0.7773739571571351,AI Specialist with 5.8 yrs exp. Base semantic match adjusted by 83% response rate.
CAND_0064331,32,0.7772562496662141,Senior Software Engineer (ML) with 4.2 yrs exp. Base semantic match adjusted by 74% response rate.
CAND_0093547,33,0.7763316243886949,Senior Machine Learning Engineer with 2.9 yrs exp. Base semantic match adjusted by 75% response rate.
CAND_0022852,34,0.7715139226913453,AI Research Engineer with 5.4 yrs exp. Base semantic match adjusted by 86% response rate.
CAND_0025923,35,0.7714689888954164,Senior Software Engineer (ML) with 5.0 yrs exp. Base semantic match adjusted by 84% response rate.
CAND_0007052,36,0.7709613031148911,ML Engineer with 6.5 yrs exp. Base semantic match adjusted by 85% response rate.
CAND_0067866,37,0.7708278136253357,Senior Software Engineer (ML) with 6.4 yrs exp. Base semantic match adjusted by 79% response rate.
CAND_0058575,38,0.7700539247989655,AI Engineer with 5.8 yrs exp. Base semantic match adjusted by 69% response rate.
CAND_0050454,39,0.7700283844470979,AI Engineer with 6.8 yrs exp. Base semantic match adjusted by 77% response rate.
CAND_0077261,40,0.7698927304744722,AI Specialist with 5.7 yrs exp. Base semantic match adjusted by 81% response rate.
CAND_0024878,41,0.769500126361847,AI Specialist with 5.7 yrs exp. Base semantic match adjusted by 84% response rate.
CAND_0019845,42,0.7693063790798188,AI Specialist with 3.4 yrs exp. Base semantic match adjusted by 78% response rate.
CAND_0013665,43,0.7659430565834046,Senior Software Engineer (ML) with 5.2 yrs exp. Base semantic match adjusted by 73% response rate.
CAND_0084161,44,0.7645257682800294,Senior Software Engineer (ML) with 3.9 yrs exp. Base semantic match adjusted by 77% response rate.
CAND_0083307,45,0.7644054198265077,Search Engineer with 7.8 yrs exp. Base semantic match adjusted by 70% response rate.
CAND_0059795,46,0.7643443495035172,Senior Software Engineer (ML) with 5.6 yrs exp. Base semantic match adjusted by 75% response rate.
CAND_0099806,47,0.7642123742103577,AI Engineer with 4.6 yrs exp. Base semantic match adjusted by 76% response rate.
CAND_0015065,48,0.7638613696098329,AI Research Engineer with 3.9 yrs exp. Base semantic match adjusted by 84% response rate.
CAND_0088025,49,0.7637779859304429,Staff Machine Learning Engineer with 8.6 yrs exp. Base semantic match adjusted by 83% response rate.
CAND_0076995,50,0.761075140953064,AI Research Engineer with 4.4 yrs exp. Base semantic match adjusted by 73% response rate.
CAND_0033179,51,0.7595239753723145,AI Research Engineer with 6.9 yrs exp. Base semantic match adjusted by 84% response rate.
CAND_0091534,52,0.759316149711609,AI Engineer with 16.6 yrs exp. Base semantic match adjusted by 84% response rate.
CAND_0020708,53,0.7593044948577882,Search Engineer with 4.2 yrs exp. Base semantic match adjusted by 84% response rate.
CAND_0066309,54,0.7586292543411255,Senior Software Engineer (ML) with 5.3 yrs exp. Base semantic match adjusted by 56% response rate.
CAND_0061175,55,0.7581970596313476,AI Research Engineer with 6.7 yrs exp. Base semantic match adjusted by 48% response rate.
CAND_0046278,56,0.7579162001609803,Senior Software Engineer (ML) with 4.6 yrs exp. Base semantic match adjusted by 50% response rate.
CAND_0084819,57,0.7573889636993408,Search Engineer with 4.5 yrs exp. Base semantic match adjusted by 74% response rate.
CAND_0066075,58,0.7564723172187806,Senior Software Engineer (ML) with 5.2 yrs exp. Base semantic match adjusted by 76% response rate.
CAND_0029367,59,0.7547352966070175,Senior Data Scientist with 5.7 yrs exp. Base semantic match adjusted by 77% response rate.
CAND_0074325,60,0.7540234737396241,AI Research Engineer with 3.9 yrs exp. Base semantic match adjusted by 47% response rate.
CAND_0093912,61,0.7532384018898011,Senior Data Scientist with 5.3 yrs exp. Base semantic match adjusted by 66% response rate.
CAND_0093185,62,0.7521805500984192,AI Research Engineer with 4.1 yrs exp. Base semantic match adjusted by 60% response rate.
CAND_0072232,63,0.7519774527549744,ML Engineer with 4.0 yrs exp. Base semantic match adjusted by 57% response rate.
CAND_0042441,64,0.7516054639816284,AI Research Engineer with 4.1 yrs exp. Base semantic match adjusted by 72% response rate.
CAND_0004555,65,0.7494590713977815,Senior Software Engineer (ML) with 5.0 yrs exp. Base semantic match adjusted by 71% response rate.
CAND_0010541,66,0.7491462596654892,AI Research Engineer with 6.2 yrs exp. Base semantic match adjusted by 59% response rate.
CAND_0098846,67,0.7488950293064118,AI Engineer with 7.6 yrs exp. Base semantic match adjusted by 62% response rate.
CAND_0018499,68,0.7479128469228745,Senior Machine Learning Engineer with 7.2 yrs exp. Base semantic match adjusted by 61% response rate.
CAND_0016170,69,0.7471801381111145,AI Research Engineer with 6.8 yrs exp. Base semantic match adjusted by 52% response rate.
CAND_0089495,70,0.7460133333206177,Senior Software Engineer (ML) with 4.3 yrs exp. Base semantic match adjusted by 72% response rate.
CAND_0082262,71,0.7448053569793701,Senior Software Engineer (ML) with 5.9 yrs exp. Base semantic match adjusted by 64% response rate.
CAND_0008239,72,0.7445731031894685,AI Engineer with 4.0 yrs exp. Base semantic match adjusted by 73% response rate.
CAND_0085557,73,0.742366886973381,Data Scientist with 3.1 yrs exp. Base semantic match adjusted by 49% response rate.
CAND_0061156,74,0.7412329946756364,Senior Software Engineer (ML) with 6.0 yrs exp. Base semantic match adjusted by 39% response rate.
CAND_0049538,75,0.7407830543518067,Applied ML Engineer with 5.8 yrs exp. Base semantic match adjusted by 72% response rate.
